code,name,water_g,energy_kcal,protein_g,fat_g,carb_g,fiber_g,ash_g,calcium_mg,phosphorus_mg,iron_mg,sodium_mg,potassium_mg,copper_mg,zinc_mg,retinol_mcg,beta_carotene_mcg,carotene_total_mcg,thiamin_mg,riboflavin_mg,niacin_mg,vitc_mg,bdd_pct,state,group
AP001,Nasi,56.7,180,3.0,0.3,39.8,0.2,0.2,25,27,0.4,1,38.0,0.10,0.6,,,,0.05,0.10,2.6,,100,Olahan,Serealia
AP002,Nasi tim,71.0,120,2.4,0.4,26.0,0.5,0.2,3,7,0.4,,23.9,0.10,0.4,,,,0.10,,1.4,,100,Olahan,Serealia
AP003,Tapai beras,75.5,99,1.7,0.3,22.4,,0.1,4,19,,26,2.0,0.10,0.5,,,,,,,,100,Olahan,Serealia
AP004,"Tepung beras, mentah",12.0,353,7.0,0.5,80.0,2.4,0.5,5,140,0.8,5,241.0,0.10,0.8,,,,0.12,0.10,1.2,,100,Olahan,Serealia
AP005,Nasi beras merah,64.0,149,2.8,0.4,32.5,0.3,0.3,6,63,0.8,5,91.4,0.20,0.9,,,,0.06,,1.6,,100,Olahan,Serealia
AP006,"Bihun, mentah",12.9,348,4.7,0.1,82.1,1.2,0.2,6,35,1.8,12,5.0,0.08,0.7,,,,,,0.2,,100,Olahan,Serealia
AP007,Bihun goreng instan,9.0,381,6.1,3.9,80.3,,0.7,266,151,2.9,928,,,,58,,400,0.37,,,,100,Olahan,Serealia
AP008,"Bihun Jagung, mentah",11.3,354,0.5,0.3,87.4,3.0,0.5,13,111,0.6,49,1.4,0.40,,,,,0.02,0.02,0.3,0.2,100,Olahan,Serealia
AP009,Nasi jagung,11.0,357,8.8,0.5,79.5,6.2,0.3,5,43,0.6,2,30.4,0.10,0.3,,,,0.30,0.02,0.1,0.2,100,Olahan,Serealia
AP010,"Jagung muda, rebus",53.2,142,5.0,0.7,30.3,0.8,0.8,5,105,0.8,5,24.3,0.20,0.9,,145,225,0.15,0.08,0.7,,100,Olahan,Serealia
